,base,clouds.all,cod,coord.lat,coord.lon,dt,id,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain.1h,rain.3h,snow.1h,sys.country,sys.id,sys.message,sys.sunrise,sys.sunset,sys.type,visibility,weather,wind.deg,wind.gust,wind.speed
0,stations,20,200,51.89,-8.4,1544592600,2965139,,93,1015.0,,4.0,4.0,4.0,Mahon,,,,IE,1563.0,0.0032,1544603530,1544631751,1.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",350.0,,1.0
1,stations,75,200,-53.16,-70.91,1544594400,3874787,,75,1004.0,,8.0,8.0,8.0,Punta Arenas,,,,CL,8487.0,0.0177,1544602270,1544663059,1.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",330.0,,3.6
2,stations,5,200,21.05,-89.07,1544593500,3526662,,63,1024.0,,17.0,17.0,17.0,Teya,,,,MX,7140.0,0.0034,1544617439,1544656583,1.0,11265.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]",60.0,,1.5
3,stations,68,200,-23.7,133.88,1544592600,2077895,,12,1005.0,,41.0,41.0,41.0,Alice Springs,,,,AU,9483.0,0.0035,1544559053,1544607927,1.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",170.0,,8.2
4,stations,80,200,-20.58,48.53,1544595204,1058080,1021.67,95,1021.67,1030.04,26.63,26.63,26.63,Nosy Varika,,1.395,,MG,,0.0042,1544579925,1544628035,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",45.5002,,2.41
5,stations,90,200,-32.72,152.14,1544592600,2155562,,73,1011.0,,23.0,23.0,23.0,Nelson Bay,,,,AU,9605.0,0.0044,1544553418,1544604798,1.0,10000.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",50.0,,6.2
6,stations,0,200,67.46,153.71,1544595205,2121025,1021.67,0,1021.67,1033.65,-34.63,-34.63,-34.63,Srednekolymsk,,,,RU,,0.0033,1544576356,1544581081,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",129.5,,1.11
7,stations,20,200,-42.88,147.33,1544592600,2163355,,44,1007.0,,25.0,25.0,25.0,Hobart,,,,AU,9545.0,0.041,1544552738,1544607792,1.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",50.0,,8.7
8,stations,48,200,-34.42,19.24,1544595205,3366880,988.27,81,988.27,1027.89,17.65,17.65,17.65,Hermanus,,0.37,,ZA,,0.0069,1544585050,1544636978,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",302.0,,2.36
9,stations,40,200,-3.98,-38.73,1544590800,3395473,,78,1013.0,,27.0,27.0,27.0,Papara,,,,BR,8363.0,0.0224,1544602694,1544647161,1.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",110.0,,5.7
10,stations,92,200,38.52,-28.7,1544595206,3372707,1026.29,100,1026.29,1029.76,16.8,16.8,16.8,Ribeira Grande,,6.04,,PT,,0.1155,1544605382,1544639649,,,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",271.0,,11.11
11,stations,75,200,-54.81,-68.31,1544594400,3833367,,70,1000.0,,8.0,8.0,8.0,Ushuaia,,,,AR,8303.0,0.1277,1544601008,1544663075,1.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",90.0,,2.6
12,stations,20,200,-16.48,-151.75,1544595207,4034551,1025.72,100,1025.72,1025.86,28.6,28.6,28.6,Faanui,,,,PF,,0.0575,1544628483,1544675642,,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",340.5,,3.31
13,stations,88,200,-0.74,-90.35,1544595207,3652764,1020.05,100,1020.05,1027.24,23.38,23.38,23.38,Puerto Ayora,,,,EC,,0.0042,1544615420,1544659220,,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",176.5,,4.06
14,stations,56,200,63.44,-20.27,1544595207,3412093,1001.65,94,1001.65,1007.74,6.75,6.75,6.75,Vestmannaeyjar,,2.91,,IS,,0.0037,1544612067,1544628910,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",176.0,,13.01
15,stations,1,200,39.95,-94.76,1544594100,4407665,,84,1011.0,,1.08,1.7,0.0,Kodiak,,,,US,4022.0,0.0035,1544621498,1544655253,1.0,16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",290.0,,3.6
